"Package","Version"
"abind","1.4-8"
"affy","1.72.0"
"affyio","1.64.0"
"airway","1.14.0"
"amap","0.8-20"
"apcluster","1.4.13"
"apeglm","1.16.0"
"ashr","2.2-63"
"askpass","1.2.1"
"backports","1.5.0"
"base64","2.0.2"
"bbmle","1.0.25.1"
"bdsmatrix","1.3-7"
"beanplot","1.3.1"
"BH","1.87.0-1"
"BiocFileCache","2.2.1"
"BiocParallel","1.28.3"
"biomaRt","2.50.3"
"bit","4.5.0.1"
"bit64","4.6.0-1"
"bitops","1.0-9"
"blob","1.2.4"
"boot","1.3-31"
"brew","1.0-10"
"brio","1.1.5"
"broom","1.0.7"
"bslib","0.9.0"
"bumphunter","1.36.0"
"cachem","1.1.0"
"callr","3.7.6"
"carData","3.0-5"
"cellranger","1.1.0"
"ChIPpeakAnno","3.28.1"
"ChIPseeker","1.30.3"
"chk","0.10.0"
"cli","3.6.4"
"clipr","0.8.0"
"clusterCrit","1.3.0"
"clusterProfiler","4.2.2"
"cobalt","4.5.5"
"coda","0.19-4.1"
"codetools","0.2-20"
"colorspace","2.1-1"
"conflicted","1.2.0"
"CorLevelPlot","0.99.0"
"cpp11","0.5.1"
"crayon","1.5.3"
"credentials","2.0.2"
"curl","6.2.1"
"data.table","1.16.4"
"DBI","1.2.3"
"dbplyr","2.5.0"
"dbscan","1.2.2"
"DelayedMatrixStats","1.16.0"
"desc","1.4.3"
"devtools","2.4.5"
"DiffBind","3.4.11"
"diffobj","0.3.5"
"digest","0.6.37"
"doParallel","1.0.17"
"doRNG","1.8.6.1"
"downlit","0.4.4"
"dplyr","1.1.4"
"dtplyr","1.3.1"
"dynamicTreeCut","1.63-1"
"emdbook","1.3.13"
"enrichR","3.4"
"EnsDb.Hsapiens.v86","2.99.0"
"etrunct","0.1"
"evaluate","1.0.3"
"extrafont","0.19"
"extrafontdb","1.0"
"fansi","1.0.6"
"farver","2.1.2"
"fastcluster","1.2.6"
"fastmap","1.2.0"
"filelock","1.0.3"
"flashClust","1.01-2"
"fontawesome","0.5.3"
"fontBitstreamVera","0.1.1"
"fontLiberation","0.1.0"
"fontquiver","0.2.1"
"forcats","1.0.0"
"foreach","1.5.2"
"formatR","1.14"
"Formula","1.2-5"
"fs","1.6.5"
"gargle","1.5.2"
"gdtools","0.4.1"
"generics","0.1.3"
"GenomeInfoDb","1.30.1"
"GenomicFeatures","1.46.5"
"GenomicRanges","1.46.1"
"GEOquery","2.62.2"
"gert","2.1.4"
"ggnewscale","0.5.0"
"ggplot2","3.5.1"
"ggrepel","0.9.6"
"gh","1.4.1"
"gitcreds","0.1.2"
"glmnet","4.1-8"
"glue","1.8.0"
"googledrive","2.1.1"
"googlesheets4","1.1.1"
"GreyListChIP","1.26.0"
"gtable","0.3.6"
"haven","2.5.4"
"HDF5Array","1.22.1"
"here","1.0.1"
"hexbin","1.28.5"
"highr","0.11"
"hms","1.1.3"
"hrbrthemes","0.8.7"
"htmltools","0.5.8.1"
"httr","1.4.7"
"httr2","1.1.0"
"ids","1.0.1"
"igraph","2.1.4"
"IlluminaHumanMethylation450kanno.ilmn12.hg19","0.6.0"
"IlluminaHumanMethylationEPICanno.ilm10b4.hg19","0.6.0"
"illuminaio","0.36.0"
"impute","1.68.0"
"ini","0.3.1"
"InteractionSet","1.22.0"
"invgamma","1.1"
"irlba","2.3.5.1"
"isoband","0.2.7"
"iterators","1.0.14"
"jomo","2.7-6"
"jsonlite","1.9.0"
"knitr","1.49"
"labeling","0.4.3"
"lifecycle","1.0.4"
"limma","3.50.3"
"lme4","1.1-36"
"locfit","1.5-9.11"
"lubridate","1.9.4"
"magrittr","2.0.3"
"matrixStats","1.5.0"
"mclust","6.1.1"
"memoise","2.0.1"
"mice","3.17.0"
"minfi","1.40.0"
"miniUI","0.1.1.1"
"minqa","1.2.8"
"mitml","0.4-5"
"mixsqp","0.3-54"
"modelr","0.1.11"
"multtest","2.50.0"
"munsell","0.5.1"
"mvtnorm","1.3-3"
"nloptr","2.1.1"
"nor1mix","1.3-3"
"numDeriv","2016.8-1.1"
"openssl","2.3.2"
"ordinal","2023.12-4.1"
"pan","1.9"
"pillar","1.10.1"
"pkgbuild","1.4.6"
"pkgdown","2.1.1"
"pkgload","1.4.0"
"plotrix","3.8-4"
"plyr","1.8.9"
"png","0.1-8"
"praise","1.0.0"
"preprocessCore","1.56.0"
"prettyunits","1.2.0"
"processx","3.8.5"
"profvis","0.4.0"
"progress","1.2.3"
"proxy","0.4-27"
"ps","1.9.0"
"purrr","1.0.4"
"quadprog","1.5-8"
"R.methodsS3","1.8.2"
"R.oo","1.27.0"
"R.utils","2.12.3"
"R6","2.6.1"
"ragg","1.3.3"
"rbibutils","2.3"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.0.14"
"RcppEigen","0.3.4.0.2"
"RcppNumerical","0.6-0"
"RcppTOML","0.2.2"
"RCurl","1.98-1.16"
"Rdpack","2.6.2"
